Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
AB Road,22.7665444,75.9006944,Malwa Restaurant,22.76600164477429,75.90001767968457,Indian Restaurant
Alok Nagar Row Houses,22.7351868,75.8881286,Shoppers Stop Indore,22.736239113813703,75.89101040348253,Shopping Mall
Alok Nagar Row Houses,22.7351868,75.8881286,Hotel Shreemaya Residency,22.735863829959783,75.89074947883933,Hotel
Alok Nagar Row Houses,22.7351868,75.8881286,Cafe Coco Cabana,22.73095088291775,75.88891732046012,Café
Alok Nagar Row Houses,22.7351868,75.8881286,Hotel Ginger,22.736387312982636,75.89116355467858,Asian Restaurant
Alok Nagar Row Houses,22.7351868,75.8881286,Ginger Hotel,22.73439237333842,75.89164569624626,Hotel
Anoop Nagar,22.731192200000002,75.89325865,Anand Bazar,22.727597619088083,75.89439103561762,Market
Anoop Nagar,22.731192200000002,75.89325865,Cafe Coco Cabana,22.73095088291775,75.88891732046012,Café
Anoop Nagar,22.731192200000002,75.89325865,Ginger Hotel,22.73439237333842,75.89164569624626,Hotel
Anoop Nagar,22.731192200000002,75.89325865,"Fyi, Anand Bazaar",22.727598827086048,75.8944761175948,Fast Food Restaurant
Ashish Nagar,22.71567865,75.9088482904267,"Dev's Bakery, Bengali Square",22.716338983486764,75.90845722406692,Bakery
Ashish Nagar,22.71567865,75.9088482904267,pipliyaahana lake,22.715407459743453,75.9068975345836,Lake
Ashish Nagar,22.71567865,75.9088482904267,Bengali Square,22.717975131125556,75.90830409168356,Bus Station
Ashish Nagar,22.71567865,75.9088482904267,Rajshahi Palace Hotel Indore,22.718977724846575,75.90720947386421,Restaurant
Bengali Square,22.7205317,75.9027775,Mr Beans - The Coffee Lounge,22.721090369545312,75.90052843093872,Coffee Shop
Bengali Square,22.7205317,75.9027775,Cafe Coffee Day,22.723588929720055,75.90134441509998,Coffee Shop
Bengali Square,22.7205317,75.9027775,Indian Coffee House (ICH),22.720993801256462,75.90005171112189,Indian Restaurant
Bengali Square,22.7205317,75.9027775,Rajshahi Palace Hotel Indore,22.718977724846575,75.90720947386421,Restaurant
Bicholi Hapsi Road,22.6963615,75.9279399,Blue Leaf By Papaya Tree,22.699639,75.924813,Hotel
Bicholi Mardana Road,22.6963615,75.9279399,Blue Leaf By Papaya Tree,22.699639,75.924813,Hotel
Chhavni,22.7053325,75.8743334,mathurwala,22.70840280790976,75.87563753128052,Indian Restaurant
Chhavni,22.7053325,75.8743334,Indore Zoo,22.70407987819188,75.8780543446459,Zoo
Chhavni,22.7053325,75.8743334,Navlakha,22.702006909761554,75.8767609424821,Bus Station
Chhavni,22.7053325,75.8743334,Raj Ratan Tours & Travel,22.70175086272902,75.87680632521467,Bus Station
Dhar Road,22.710414,75.8323642,Domino's Pizza,22.70723192804913,75.82968554164724,Pizza Place
Dhar Road,22.710414,75.8323642,Gangwal Bus Stand,22.710141620766155,75.83153549068533,Bus Station
Dhar Road,22.710414,75.8323642,Apna Palace,22.709548,75.830299,Fast Food Restaurant
Dhar Road,22.710414,75.8323642,Hotel Apna Palace,22.710024151864523,75.82991253055478,Motel
Dhar Road,22.710414,75.8323642,Premsons,22.707724143830646,75.83047432654267,Women's Store
Dhar Road,22.710414,75.8323642,Magician Anil Kale,22.71144466395585,75.82840852439404,Street Art
